,MAE,RMSE,Predicciones
XGBoost,92.10660552978516,112.4703598022461,"[301.7120361328125, 263.55322265625]"
Prophet,111.58208508595209,130.4131916866477,"[299.92885025250445, 302.1118029275362]"
SARIMA,120.19022944844978,141.45517068240807,"[306.6488488265075, 291.18758040236526]"
Ridge,48.272964248693484,63.21307361098241,"[377.0513732553561, 450.25147868615204]"
